#id,node_name,node_ip
640,www.espe.edu.ec,192.188.58.167
641,www.estamer.ae,83.111.201.4
642,www.eti.net.gn,82.206.222.21
643,www.fapesp.br,143.108.10.6
644,www.fde.ec,200.110.94.62
645,www.fid.mg,41.188.9.131
646,www.fisica.edu.uy,164.73.83.126
647,www.fmci.ens.tn,41.225.8.45
648,www.fnal.gov,131.225.70.2
649,www.fpf.br,201.90.252.245
650,www.fsjesr.ac.ma,196.200.139.12
651,www.fulbright.org.cy,194.154.128.22
652,www.futminna.edu.ng,197.157.218.37
653,www.fys.uio.no,129.240.84.18
654,www.gbs.cd,217.171.88.141
655,www.geocom.do,200.26.174.210
656,www.gi.alaska.edu,137.229.21.85
657,www.gijima.com.na,196.44.128.214
658,www.giki.edu.pk,121.52.144.100
659,www.globalone.com.br,189.126.103.227
660,www.gov.bw,168.167.134.24
661,www.grin.by,87.252.253.254
662,www.gsi.de,140.181.64.223
663,www.gsis.gov.ph,210.5.70.65
664,www.hallym.ac.kr,210.115.225.12
665,www.harvard.edu,173.203.129.90
666,www.hastingsdc.govt.nz,202.191.43.42
667,www.health.gov.mv,202.21.178.155
668,www.hellenic.ac.zw,196.29.35.76
669,www.helwan.edu.eg,193.227.34.41
670,www.hep.anl.gov,146.139.180.60
671,www.hep.brown.edu,128.148.63.160
672,www.hep.uiuc.edu,128.174.118.162
673,www.hepi.edu.ge,217.147.226.4
674,www.het.brown.edu,128.148.26.157
675,www.hpu.edu,207.97.208.129
676,www.hraparak.am,95.140.200.217
677,www.hut.edu.vn,202.191.57.195
678,www.hz.zj.cn,61.175.163.41
679,www.ic.cd,41.194.60.3
680,www.ic.edu.lb,77.235.128.5
681,www.ictp.tv,140.105.28.116
682,www.ifs.ac.lk,192.248.97.1
683,www.ihep.ac.cn,202.38.128.8
684,www.ihep.su,194.190.161.169
685,www.iitk.ac.in,203.200.95.142
686,www.iitkgp.ac.in,202.63.234.243
687,www.ikf.physik.uni-frankfurt.de,141.2.243.3
688,www.ill.fr,193.49.43.124
689,www.immigration.gov.ph,124.6.144.116
690,www.in2p3.fr,134.158.69.48
691,www.indiana.edu,129.79.78.192
692,www.indo.net.id,202.159.32.22
693,www.indosat.net.id,124.81.92.144
694,www.inet.sy,91.144.8.211
695,www.inetvr.com.br,187.45.195.191
696,www.infn.it,193.206.84.220
697,www.inia.gov.ve,190.202.124.231
698,www.intercafe.bi,196.2.8.201
699,www.intercollege.ac.cy,82.116.203.18
700,www.ioe.edu.np,202.70.91.13
701,www.ionmed.agh.edu.pl,149.156.96.9
702,www.iranlng.ir,62.193.12.226
703,www.ird.ne,41.138.57.1
704,www.irk.ru,195.206.58.122
705,www.itb.ac.id,167.205.1.34
706,www.itb.edu.bn,202.93.220.18
707,www.itc.edu.kh,203.189.148.71
708,www.iucc.ac.il,128.139.202.17
709,www.iust.edu.sy,77.44.253.15
710,www.iut.ac.ir,217.219.19.121
711,www.kall.fo,80.77.128.9
712,www.kazrena.kz,89.250.80.3
713,www.kcn.unima.mw,196.45.188.25
714,www.kek.jp,130.87.104.107
715,www.kfmc.med.sa,193.37.143.55
716,www.kie.ac.rw,196.12.157.205
717,www.kist.ac.rw,41.197.25.6
718,www.kku.edu.sa,212.26.68.5
719,www.knu.ac.kr,155.230.11.1
720,www.kph.uni-mainz.de,134.93.178.19
721,www.kpl.net.la,115.84.101.244
722,www.ku.ac.ke,194.201.253.8
723,www.ku.ac.th,158.108.216.5
724,www.lanl.gov,204.121.3.13
725,www.laopdr.gov.la,203.110.66.105
726,www.laotrade.org.la,202.62.103.120
727,www.lbr.gov.lr,83.229.80.155
728,www.lechwe.sch.zm,81.199.193.4
729,www.leo.co.ls,64.57.112.1
730,www.lesotho.gov.ls,41.203.191.3
731,www.libyana.ly,62.240.36.58
732,www.lightning.net,216.218.186.2
733,www.linea.gov.br,186.232.60.124
734,www.lip.pt,193.136.91.226
735,www.lonab.bf,206.82.130.77
736,www.lsx.com.la,202.62.101.207
737,www.lunet.edu,192.135.141.50
738,www.mahsa.edu.my,175.139.189.25
739,www.manila.gov.ph,203.167.111.1
740,www.maxis.com.my,202.75.129.146
741,www.mcs.anl.gov,140.221.9.81
742,www.mcss.sc,41.86.46.5
743,www.mfa.gov.bn,202.160.15.163
744,www.microcom.cd,66.36.196.209
745,www.micti.co.mz,196.3.97.231
746,www.mimos.my,202.45.139.67
747,www.minjust.kz,82.200.168.230
748,www.minzdrav.uz,62.209.153.230
749,www.miu.edu.my,110.4.45.119
750,www.mju.ac.th,110.164.58.213
751,www.ml.refer.org,196.200.90.99
752,www.mme.gov.na,209.88.21.60
753,www.mmu.edu.my,203.106.61.79
754,www.mod.gov.af,81.85.243.66
755,www.moedu.gov.iq,78.109.236.122
756,www.mof.gov.sd,196.202.144.245
757,www.mogbiz.by,194.158.206.243
758,www.monash.edu.my,59.191.192.148
759,www.montclair.edu,130.68.1.187
760,www.most.gov.np,202.45.144.21
761,www.mppmu.mpg.de,134.107.24.10
762,www.msu.ru,193.232.113.151
763,www.mt.net.mk,195.26.152.130
764,www.mtec.by,91.149.189.220
765,www.muchs.ac.tz,41.216.220.102
766,www.multilink.ht,200.80.96.15
767,www.multinet.af,202.86.23.70
768,www.muni.cz,147.251.5.231
769,www.museumsnc.co.za,196.211.11.236
770,www.myren.net.my,203.80.16.120
771,www.na.gov.la,115.84.70.203
772,www.nahaltrading.com.eg,41.222.168.137
773,www.nbi.dk,130.225.212.5
774,www.ncl.ac.uk,128.240.233.197
775,www.nelly.com.do,200.88.126.40
776,www.nersc.gov,128.55.6.34
777,www.netvalley.net,216.187.103.168
778,www.newinti.edu.my,124.150.142.118
779,www.nic.ci,213.136.100.82
780,www.nic.mr,82.151.64.7
781,www.nikhef.nl,192.16.199.166
782,www.nmmu.ac.za,192.96.15.244
783,www.noc.gov.iq,188.124.18.91
784,www.noclibya.com.ly,62.240.36.38
785,www.nomad.mu,196.46.59.13
786,www.noor.net,217.139.227.20
787,www.nren.nasa.gov,198.10.138.131
788,www.nren.net.np,202.52.0.2
789,www.nrf.ae,195.229.146.76
790,www.ntc.net.np,202.70.64.2
791,www.nu.edu.sa,212.26.74.5
792,www.nus.edu.sg,137.132.21.27
793,www.nwu.ac.za,143.160.36.150
794,www.oag.org.bw,168.167.134.74
795,www.ocesb.com.my,202.73.10.4
796,www.officedubacbenin.bj,81.91.236.77
797,www.okstate.edu,139.78.99.6
798,www.out.ac.tz,196.43.84.246
799,www.pa.msu.edu,35.9.68.172
800,www.paynet.co.zw,196.44.186.219
801,www.pgia.ac.lk,203.94.67.67
802,www.phy.bris.ac.uk,137.222.30.8
803,www.phys.s.u-tokyo.ac.jp,133.11.1.3
804,www.physics.rutgers.edu,128.6.228.190
805,www.physics.umd.edu,128.8.140.6
806,www.physik.rwth-aachen.de,134.130.4.35
807,www.pnae.mg,196.192.40.200
808,www.pol34.pl,212.51.192.18
809,www.poly.ac.mw,41.221.97.114
810,www.polytechnic.edu.na,192.12.10.105
811,www.ppesa.gov.et,213.55.76.98
812,www.presidencymaldives.gov.mv,202.1.201.180
813,www.president.kg,212.42.119.16
814,www.princeton.edu,128.112.132.86
815,www.ps.uci.edu,128.200.48.62
816,www.psi.gov.ps,217.66.226.35
817,www.psmchs.edu.sa,213.230.21.42
818,www.qiup.edu.my,103.6.196.75
819,www.queenscollege.edu.ye,195.94.0.226
820,www.realbroadband.co.sz,196.28.7.21
821,www.refer.ga,217.77.72.76
822,www.refer.sn,213.154.65.67
823,www.registro.br,200.160.2.3
824,www.riesgroup.dj,196.201.197.76
825,www.rl.ac.uk,130.246.135.175
826,www.rol.net.mv,202.21.176.41
827,www.rsu.ac.th,110.164.199.217
828,www.rtu.lv,213.175.89.169
829,www.ru.ac.bd,180.211.185.196
830,www.ru.ac.za,146.231.129.7
831,www.rub.edu.bt,202.144.158.150
832,www.ruh.ac.lk,192.248.48.3
833,www.runnet.ru,85.142.191.3
834,www.rwandaparliament.gov.rw,41.74.172.4
835,www.sabah.com.my,27.0.4.20
836,www.sc.doe.gov,205.254.144.200
837,www.sci.am,93.187.162.21
838,www.scl.ameslab.gov,147.155.137.28
839,www.sdsc.edu,132.249.21.111
840,www.seanet.org.nz,131.203.86.114
841,www.see.gob.do,190.167.196.166
842,www.seua.am,217.113.19.67
843,www.sharif.ir,81.31.160.60
844,www.sierratel.sl,41.205.225.140
845,www.singaren.net.sg,203.30.39.3
846,www.singtel.com,203.208.248.10
847,www.sjtu.edu.cn,202.120.2.102
848,www.slac.stanford.edu,134.79.18.188
849,www.solomon.com.sb,202.1.169.5
850,www.sta.ne,41.203.159.9
851,www.stmaryuniversitycollege.edu.et,213.55.83.210
852,www.su.edu.et,176.74.178.30
853,www.sud.fo,217.172.81.67
854,www.sun.com,192.9.49.33
855,www.supercomp.org,63.118.7.16
856,www.surcollege.edu.om,85.154.240.82
857,www.sustech.edu,41.67.53.4
858,www.swu.edu.ph,121.96.58.6
859,www.tarena.tj,77.95.0.38
860,www.tau.ac.il,132.66.16.6
861,www.tele.gl,194.177.224.40
862,www.ternet.or.tz,196.43.84.242
863,www.tfanus.com.er,196.200.99.1
864,www.thawraonline.sy,91.144.8.202
865,www.thphys.may.ie,149.157.205.5
866,www.tishreen.edu.sy,95.159.58.36
867,www.tpn.bg,195.138.148.2
868,www.tresor.ga,217.77.72.249
869,www.triumf.ca,142.90.113.81
870,www.tsc.ru,84.237.0.66
871,www.tse.com.er,196.200.102.6
872,www.tsinghua.edu.cn,166.111.4.100
873,www.ttu.tj,77.95.1.234
874,www.tubane.bi,196.2.13.50
875,www.turkmenistan.gov.tm,217.174.229.126
876,www.u-tokyo.ac.jp,133.11.114.194
877,www.uaa.alaska.edu,137.229.141.83
878,www.uac.bj.refer.org,81.91.236.226
879,www.uam.es,150.244.9.237
880,www.uas.alaska.edu,137.229.218.103
881,www.ub.tg,41.207.188.27
882,www.ubd.edu.bn,202.160.1.54
883,www.uca.edu.sv,168.243.1.4
884,www.ucc.edu.gh,41.204.53.162
885,www.ucd.ac.ma,196.200.172.55
886,www.uchicago.edu,128.135.13.112
887,www.ucla.edu,169.232.55.224
888,www.uclv.edu.cu,200.55.145.10
889,www.ucu.edu.ar,190.228.68.197
890,www.uda.ad,194.158.78.228
891,www.udsm.ac.tz,196.44.161.106
892,www.uem.mz,196.3.96.21
893,www.uern.br,200.164.64.132
894,www.uet.edu.pk,111.68.102.6
895,www.uew.edu.gh,41.74.91.129
896,www.ug.edu.gh,197.255.124.90
897,www.ugm.ac.id,175.111.91.159
898,www.uia.mx,192.203.177.1
899,www.uinjkt.ac.id,116.66.206.163
900,www.um.edu.my,202.185.111.194
901,www.umk.edu.my,58.26.188.6
902,www.umss.edu.bo,200.87.182.20
903,www.umt.edu.my,161.139.193.85
904,www.una.py,200.10.228.135
905,www.unair.ac.id,210.57.208.14
906,www.undp.tj,94.199.19.7
907,www.unesp.br,200.145.1.9
908,www.uni-mb.si,164.8.23.111
909,www.unibe.edu.do,200.26.171.243
910,www.unikin.cd,83.229.125.115
911,www.unikl.edu.my,113.23.141.10
912,www.unilag.edu.ng,196.45.48.50
913,www.unimas.my,49.50.236.15
914,www.unisza.edu.my,161.142.148.23
915,www.unitec.edu,200.107.212.133
916,www.univ-mahajanga.mg,41.188.42.18
917,www.univ-ouaga.bf,212.52.131.9
918,www.univ-sba.dz,80.249.75.2
919,www.unju.edu.ar,200.45.224.18
920,www.unn.ru,85.143.0.20
921,www.unri.ac.id,103.10.169.245
922,www.untan.ac.id,203.24.50.2
923,www.unyp.cz,178.238.38.35
924,www.uoa.gr,195.134.71.229
925,www.uoi.gr,195.130.120.109
926,www.uol.com.br,200.221.2.45
927,www.upesh.edu.pk,121.52.147.5
928,www.upm.edu.my,110.74.179.2
929,www.upnm.edu.my,1.9.21.6
930,www.upsi.edu.my,202.190.201.62
931,www.uran.ru,195.19.155.194
932,www.usep.edu.ph,202.137.113.149
933,www.usim.edu.my,58.26.99.98
934,www.usu.ac.id,202.0.107.9
935,www.utar.edu.my,58.27.19.137
936,www.utem.edu.my,210.48.157.23
937,www.utl.co.ug,196.0.0.243
938,www.utm.ac.mu,202.123.21.123
939,www.utm.my,161.139.145.85
940,www.utp.edu.my,203.135.191.100
941,www.vnn.vn,203.162.168.130
942,www.voctech.org.bn,202.93.208.90
943,www.voe.at,62.218.39.47
944,www.weizmann.ac.il,132.77.150.57
945,www.ygsmrb.org.ye,82.114.183.106
946,www.zedmobile.co.zm,81.199.101.213
947,wwwinfo.jinr.ru,159.93.39.8
948,xdc.arm.gov,130.199.208.73
949,yale.edu,128.36.0.1
950,zebu.uoregon.edu,128.223.21.25
951,znsun1.ifh.de,141.34.1.16
952,zz.nullwave.ru,217.70.119.254

